t_1	t_2	t_3	narm	ncat	C_1	C_2	C_3	C_4	r_1_1	r_1_2	r_1_3	n_1_1	n_1_2	n_1_3	r_2_1	r_2_2	r_2_3	n_2_1	n_2_2	n_2_3	r_3_1	r_3_2	r_3_3	n_3_1	n_3_2	n_3_3	Trial	Year
1	2	3	3	4	1	2	3	4	175	12	5	193	18	6	70	59	46	196	126	67	44	54	56	194	150	96	Elewski	2004
1	2	NA	2	4	1	2	3	4	49	5	1	55	6	1	17	23	11	57	40	17	NA	NA	NA	NA	NA	NA	Gottlieb	2003
1	4	NA	2	4	1	2	3	4	103	13	5	122	19	6	112	68	42	232	120	52	NA	NA	NA	NA	NA	NA	Lebwohl	2003
1	2	3	3	4	1	2	3	4	142	18	5	166	24	6	68	39	36	162	94	55	43	40	45	164	121	81	Leonardi	2003
1	4	NA	2	3	1	2	3	NA	161	18	8	187	26	8	153	118	98	369	216	98	NA	NA	NA	NA	NA	NA	Gordon	2003
1	4	NA	2	2	1	2	NA	NA	145	25	NA	170	25	NA	63	99	NA	162	99	NA	NA	NA	NA	NA	NA	NA	ACD2058g	2004
1	4	NA	2	2	1	2	NA	NA	230	33	NA	263	33	NA	216	234	NA	450	234	NA	NA	NA	NA	NA	NA	NA	ACD2600g	2004
1	5	NA	2	2	1	2	NA	NA	10	1	NA	11	1	NA	0	12	NA	12	12	NA	NA	NA	NA	NA	NA	NA	Guenther	1991
1	4	NA	2	2	1	2	NA	NA	226	38	NA	264	38	NA	245	284	NA	529	284	NA	NA	NA	NA	NA	NA	NA	IMP24011	2004
1	6	NA	2	2	1	3	NA	NA	50	1	NA	51	1	NA	37	12	NA	49	12	NA	NA	NA	NA	NA	NA	NA	Altmeyer	1994
1	7	NA	2	2	1	3	NA	NA	9	2	NA	11	2	NA	2	9	NA	11	9	NA	NA	NA	NA	NA	NA	NA	Chaudari	2001
1	5	5	3	2	1	3	NA	NA	25	0	NA	25	0	NA	16	9	NA	25	9	NA	7	13	NA	20	13	0	Ellis	1991
1	7	7	3	2	1	3	NA	NA	48	3	NA	51	3	NA	28	71	NA	99	71	NA	12	87	NA	99	87	0	Gottlieb	2004
5	8	NA	2	2	1	3	NA	NA	12	30	NA	42	30	NA	17	26	NA	43	26	NA	NA	NA	NA	NA	NA	NA	Heydendael	2003
1	5	NA	2	2	1	3	NA	NA	41	2	NA	43	2	NA	37	4	NA	41	4	NA	NA	NA	NA	NA	NA	NA	Meffert	1997
1	5	NA	2	2	1	3	NA	NA	10	0	NA	10	0	NA	3	7	NA	10	7	NA	NA	NA	NA	NA	NA	NA	Van Joost	1988
