r1	n1	r2	n2	r3	n3	t1	t2	t3	narms
9	140	23	140	10	138	1	3	4	3
11	78	12	85	29	170	2	3	4	3
75	731	363	714	NA	1	1	3	NA	2
2	106	9	205	NA	1	1	3	NA	2
58	549	237	1561	NA	1	1	3	NA	2
0	33	9	48	NA	1	1	3	NA	2
3	100	31	98	NA	1	1	3	NA	2
1	31	26	95	NA	1	1	3	NA	2
6	39	17	77	NA	1	1	3	NA	2
79	702	77	694	NA	1	1	2	NA	2
18	671	21	535	NA	1	1	2	NA	2
64	642	107	761	NA	1	1	3	NA	2
5	62	8	90	NA	1	1	3	NA	2
20	234	34	237	NA	1	1	3	NA	2
0	20	9	20	NA	1	1	4	NA	2
8	116	19	149	NA	1	1	2	NA	2
95	1107	143	1031	NA	1	1	3	NA	2
15	187	36	504	NA	1	1	3	NA	2
78	584	73	675	NA	1	1	3	NA	2
69	1177	54	888	NA	1	1	3	NA	2
20	49	16	43	NA	1	2	3	NA	2
7	66	32	127	NA	1	2	4	NA	2
12	76	20	74	NA	1	3	4	NA	2
9	55	3	26	NA	1	3	4	NA	2
