studyn	studyc	narms	t1	t2	t3	t4	t5	y2	Var2	y3	Var3	y4	Var4	y5	Var5	V
1	BOWLER2012	2	1	6	NA	NA	NA	-0.916254782	0.101294737	NA	NA	NA	NA	NA	NA	NA
2	ABRAMOWITZ2009	2	1	7	NA	NA	NA	-0.956381011	0.151840971	NA	NA	NA	NA	NA	NA	NA
3	ANDERSSON2012	2	1	8	NA	NA	NA	-0.768207456	0.015673733	NA	NA	NA	NA	NA	NA	NA
4	BERGER2009	2	1	8	NA	NA	NA	-0.748858081	0.063047078	NA	NA	NA	NA	NA	NA	NA
5	CARLBRING2007	2	1	8	NA	NA	NA	-1.248430575	0.059678439	NA	NA	NA	NA	NA	NA	NA
6	TITOV2008a	2	1	8	NA	NA	NA	-0.944180672	0.035748645	NA	NA	NA	NA	NA	NA	NA
7	TITOV2008b	2	1	8	NA	NA	NA	-0.944180672	0.035748645	NA	NA	NA	NA	NA	NA	NA
8	MUNJACK1990	2	1	21	NA	NA	NA	-0.857090034	0.147923215	NA	NA	NA	NA	NA	NA	NA
9	ANDERSSON2006	2	1	24	NA	NA	NA	-0.629537388	0.050508467	NA	NA	NA	NA	NA	NA	NA
10	ALDEN2011	2	1	30	NA	NA	NA	-1.88839083	0.078651885	NA	NA	NA	NA	NA	NA	NA
11	WONG2006	2	1	31	NA	NA	NA	-0.905684912	0.123646238	NA	NA	NA	NA	NA	NA	NA
12	GOLDIN2012	2	1	34	NA	NA	NA	-0.454392997	0.053596244	NA	NA	NA	NA	NA	NA	NA
13	LEDLEY2009	2	1	34	NA	NA	NA	-1.696063053	0.111472852	NA	NA	NA	NA	NA	NA	NA
14	FELTNER2011	2	2	9	NA	NA	NA	-0.500842425	0.024922214	NA	NA	NA	NA	NA	NA	NA
15	PANDE2004	2	2	9	NA	NA	NA	-0.196526106	0.031673775	NA	NA	NA	NA	NA	NA	NA
16	ZHANG2005	2	2	10	NA	NA	NA	-0.39883358	0.19895672	NA	NA	NA	NA	NA	NA	NA
17	PANDE1999	2	2	11	NA	NA	NA	-0.49451794	0.044884155	NA	NA	NA	NA	NA	NA	NA
18	SCHUTTERS2010	2	2	12	NA	NA	NA	-0.333079937	0.054692834	NA	NA	NA	NA	NA	NA	NA
19	LIEBOWITZ2003	2	2	13	NA	NA	NA	-0.371851418	0.007721125	NA	NA	NA	NA	NA	NA	NA
20	VAN-AMERINGEN2001	2	2	13	NA	NA	NA	-0.909000334	0.016241332	NA	NA	NA	NA	NA	NA	NA
21	FURMARK2005	2	2	14	NA	NA	NA	-0.373082997	0.121369056	NA	NA	NA	NA	NA	NA	NA
22	KASPER2005	2	2	15	NA	NA	NA	-0.252778383	0.009387831	NA	NA	NA	NA	NA	NA	NA
23	KOBAK2002	2	2	16	NA	NA	NA	0.001707907	0.050542412	NA	NA	NA	NA	NA	NA	NA
24	ASAKURA2007	2	2	17	NA	NA	NA	-0.2323352	0.016922582	NA	NA	NA	NA	NA	NA	NA
25	DAVIDSON2004a	2	2	17	NA	NA	NA	-0.601887082	0.013776601	NA	NA	NA	NA	NA	NA	NA
26	STEIN1999	2	2	17	NA	NA	NA	-0.54967001	0.036253284	NA	NA	NA	NA	NA	NA	NA
27	VAN-VLIET1994	2	2	17	NA	NA	NA	-0.848388534	0.147447789	NA	NA	NA	NA	NA	NA	NA
28	WESTENBERG2004	2	2	17	NA	NA	NA	-0.420395943	0.011371776	NA	NA	NA	NA	NA	NA	NA
29	ALLGULANDER1999	2	2	18	NA	NA	NA	-1.083824848	0.039077302	NA	NA	NA	NA	NA	NA	NA
30	BALDWIN1999	2	2	18	NA	NA	NA	-0.461623721	0.010746162	NA	NA	NA	NA	NA	NA	NA
31	LEPOLA2004	2	2	18	NA	NA	NA	-0.625978711	0.00856102	NA	NA	NA	NA	NA	NA	NA
32	STEIN1998	2	2	18	NA	NA	NA	-0.887545209	0.019421045	NA	NA	NA	NA	NA	NA	NA
33	TAUSCHER2010	2	2	18	NA	NA	NA	-0.220551182	0.055833805	NA	NA	NA	NA	NA	NA	NA
34	LIEBOWITZ2005a	2	2	19	NA	NA	NA	-0.32587763	0.012258684	NA	NA	NA	NA	NA	NA	NA
35	RICKELS2004	2	2	19	NA	NA	NA	-0.258515124	0.012691755	NA	NA	NA	NA	NA	NA	NA
36	DAVIDSON1993	2	2	21	NA	NA	NA	-0.910791901	0.044440842	NA	NA	NA	NA	NA	NA	NA
37	BURROWS1997	2	2	22	NA	NA	NA	-0.372848945	0.008615989	NA	NA	NA	NA	NA	NA	NA
38	SCHNEIER1998	2	2	22	NA	NA	NA	-0.338845498	0.042698842	NA	NA	NA	NA	NA	NA	NA
39	STEIN2002a	2	2	22	NA	NA	NA	-0.193058684	0.010616957	NA	NA	NA	NA	NA	NA	NA
40	LIEBOWITZ1990	2	2	23	NA	NA	NA	-0.328358805	0.060604048	NA	NA	NA	NA	NA	NA	NA
41	KNIJNIK2004	2	3	29	NA	NA	NA	0.011363475	0.106719726	NA	NA	NA	NA	NA	NA	NA
42	BJORNSSON2011	2	3	30	NA	NA	NA	0.407882594	0.072991026	NA	NA	NA	NA	NA	NA	NA
43	HEIMBERG1990	2	3	31	NA	NA	NA	-0.201290226	0.075612219	NA	NA	NA	NA	NA	NA	NA
