t1	t2	narms	r1	n1	r2	n2	x	id	studyc
1	2	2	256	2223	182	2221	1	1	4S
1	2	2	4	125	1	129	1	2	Bestehorn
1	2	2	0	52	1	94	1	3	Brown
1	2	2	2	166	2	165	1	4	CCAIT
1	2	2	77	3301	80	3304	0	5	Downs
1	2	2	3	1663	33	6582	0	6	EXCEL
1	2	2	8	459	1	460	1	7	Furberg
1	2	2	3	155	3	145	1	8	Haskell
1	2	2	0	42	1	83	1	9	Jones
1	2	2	4	223	3	224	0	10	KAPS
1	2	2	633	4520	498	4512	1	12	LIPID
1	2	2	1	124	2	123	1	13	MARS
1	2	2	11	188	4	193	1	14	MAAS
1	2	2	5	78	4	79	1	15	PLAC 1
1	2	2	6	202	4	206	1	16	PLAC 2
1	2	2	3	532	0	530	0	17	PMSGCRP
1	2	2	4	178	2	187	1	18	Riegger
1	2	2	1	201	3	203	1	19	Weintraub
1	2	2	135	3293	106	3305	0	20	Wscotland
